name,author,type,finished_reading,year
The Emperor of Ocean Park,Stephen L. Carter,Fiction,,2022
The Periodic Table,Primo Levi,Non-Fiction,,2022
Fates and Furies,Lauren Groff,Fiction,,2022
In the Garden of Beasts,Erik Larson,Non-Fiction,,2022
On Beauty,Zadie Smith,Non-Fiction,,2022
The Devil in the White City,Erik Larson,Non-Fiction,,2022
Blackbird,David Harrower,Fiction,,2022
If This is a Man,Primo Levi,Non-Fiction,,2023
The Truce,Primo Levi,Non-Fiction,,2023
Baby Teeth,Zoje Stage,Fiction,,2023
Orange is the New Black,Piper Kerman,Non-Fiction,,2023
The Goldfinch,Donna Tartt,Fiction,,2023
First They Killed My Father,Loung Ung,Non-Fiction,,2023
Friends Don't Lie,Nell Pattison,Fiction,,2023
"Eat, Drink and Drop Dead",Toni LoTempio,Fiction,,2023
All the Ugly and Wonderful Things,Bryn Greenwood,Fiction,,2023
"97,196 Words",Emmanuel Carrere,Non-Fiction,,2023
The Little Friend,Donna Tartt,Fiction,,2023
VOX,Christina Dalcher,Fiction,,2023
Becoming Unbecoming,Una,Non-Fiction,,2023
I'm Glad My Mom Died,Jennette McCurdy,Non-Fiction,,2023
The Boy,Marcus Malte,Fiction,,2023
One Italian Summer,Rebecca Serle,Fiction,,Jan-24
The Maid,Nita Prose,Fiction,,Jan-24
Thunderstruck,Erik Larson,Non-Fiction,,Feb-24
"Women We Buried, Women We Burned",Rachel Louise Snyder,Non-Fiction,,Mar-24
Bodies,Susie Orbach,Non-Fiction,,Apr-24
Green Dot,Madeleine Gray,Fiction,,May-24
The Butterly Lampshade,Aimee Bender,Fiction,,Jun-24
The Secret History,Donna Tartt,Fiction,,Jun-24
The Reckless Oath We Made,Bryn Greenwood,Fiction,,Jul-24
The Virgin Suicides,Jeffrey Eugenides,Fiction,,Aug-24
Happy Place,Emily Henry,Fiction,,Aug-24
"Sons, Daughters",Ivana Bodrozic,Fiction,,Sep-24
